object_id	object_name	joint_type	delta_q	q_unit	peak_abs_qdot	final_abs_qdot	settled	stopped_because	duration_verdict	final_acceptance	validation
10211	Laptop	revolute	0.030785737559199333	radians	0.08528188616037369	1.4278604687500973e-10	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	PASS	PASS
10905	Refrigerator	revolute	0.014430016279220581	radians	0.034569960087537766	8.39497079141438e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	PASS	PASS
11100	Scissors	revolute	-0.01895938813686371	radians	0.026477282866835594	7.677398389205337e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	PASS	PASS
45135	StorageFurniture	prismatic	0.006594052538275719	meters	0.008770937100052834	9.346449951408431e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	PASS	PASS
100109	USB	revolute	0.00471944035962224	radians	0.00482072401791811	9.776712249731645e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	PASS	PASS
101917	Oven	revolute	0.009292458184063435	radians	0.01927371509373188	9.031814988702536e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	PASS	PASS
102255	FoldingChair	revolute	0.01067353691905737	radians	0.034953802824020386	5.754654193879105e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	PASS	PASS
103111	Stapler	revolute	0.01341317594051361	radians	0.011193876154720783	9.803289140108973e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	PASS	PASS
103706	Knife	prismatic	0.03843575343489647	meters	0.06143757700920105	4.893172445008531e-05	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	PASS	PASS
103776	WashingMachine	revolute	0.0595952607691288	radians	0.27827638387680054	8.418404168208937e-11	True	settled_plus_hold	PASS_SETTLED_PLUS_HOLD	PASS	PASS
